record_id,craft,material,technique,size,labor_hours,raw_material_cost,packaging_cost,transport_cost,complexity,customization,region,actual_selling_price
SIH-00094,Kalamkari,Cotton,Block Printing,Large,12.2,990,60,105,Medium,Light,South India,3800
SIH-00095,Kalamkari,Cotton,Block Printing,Medium,9.9,560,40,35,Low,Light,South India,2320
SIH-00096,Terracotta,Clay,Hand Moulding,Small,2.4,170,15,30,Low,Standard,East India,580
SIH-00097,Sikki Craft,Sikki Grass,Hand Weaving,Large,14.7,200,80,105,High,Light,East India,2730
SIH-00098,Terracotta,Clay,Hand Moulding,Medium,5.6,210,50,70,Low,Light,East India,1390
SIH-00099,Blue Pottery,Ceramic,Glazing,Large,4.0,300,40,50,Medium,Standard,West India,1160
SIH-00100,Thanjavur Painting,Wood,Gold Leaf Work,Medium,33.0,3010,260,335,High,High,South India,17080
SIH-00101,Bastar Dhokra,Bell Metal,Lost Wax Casting,Large,40.6,1520,235,380,High,Light,Central India,14330
SIH-00102,Madhubani,Paper,Hand Painting,Medium,28.5,260,105,190,Medium,Moderate,East India,6940
SIH-00103,Blue Pottery,Ceramic,Glazing,Medium,3.7,180,45,45,Low,Standard,West India,1110
SIH-00104,Kondapalli Toys,Soft Wood,Hand Painting,Large,8.6,480,30,40,High,Standard,South India,1850
SIH-00105,Channapatna,Wood,Lac Turning,Large,5.5,180,20,25,Medium,Standard,South India,1250
SIH-00106,Madhubani,Paper,Hand Painting,Medium,34.8,240,105,135,Medium,Moderate,East India,9200
SIH-00107,Moradabad Metal Craft,Brass,Metal Engraving,Large,23.2,2340,230,320,High,Light,North India,9430
SIH-00108,Kondapalli Toys,Soft Wood,Hand Painting,Medium,2.3,230,15,30,Low,Standard,South India,940
SIH-00109,Pipili Applique,Cotton,Applique,Small,8.5,260,35,35,Low,Moderate,East India,2100
SIH-00110,Banarasi,Silk,Handloom Weaving,Standard,53.6,6000,365,470,Medium,Standard,North India,24660
SIH-00111,Sikki Craft,Sikki Grass,Hand Weaving,Large,6.3,190,30,45,Medium,Standard,East India,1620
SIH-00112,Channapatna,Wood,Lac Turning,Medium,3.1,150,15,20,Low,Standard,South India,680
SIH-00113,Blue Pottery,Ceramic,Glazing,Medium,0.9,340,15,35,Low,Standard,West India,620
SIH-00114,Channapatna,Wood,Lac Turning,Small,2.8,160,15,20,Low,Standard,South India,590
SIH-00115,Blue Pottery,Ceramic,Glazing,Small,2.4,220,30,20,Low,Standard,West India,700
SIH-00116,Blue Pottery,Ceramic,Glazing,Medium,3.2,380,40,50,Low,Standard,West India,1190
SIH-00117,Bastar Dhokra,Bell Metal,Lost Wax Casting,Large,17.9,1920,130,335,High,Standard,Central India,7190
SIH-00118,Blue Pottery,Ceramic,Glazing,Large,10.8,430,105,125,High,High,West India,2880
SIH-00119,Channapatna,Wood,Lac Turning,Medium,1.1,200,15,20,Low,Moderate,South India,530
SIH-00120,Terracotta,Clay,Hand Moulding,Small,4.8,140,15,20,Low,Light,East India,890
SIH-00121,Moradabad Metal Craft,Brass,Metal Engraving,Medium,19.2,1180,110,245,Medium,Light,North India,6200
SIH-00122,Blue Pottery,Ceramic,Glazing,Large,4.9,360,65,60,Medium,Standard,West India,1480
SIH-00123,Blue Pottery,Ceramic,Glazing,Small,2.9,130,15,35,Low,Standard,West India,680
SIH-00124,Blue Pottery,Ceramic,Glazing,Small,3.3,170,25,40,Low,Light,West India,860
SIH-00125,Thanjavur Painting,Wood,Gold Leaf Work,Large,56.3,3720,620,395,High,High,South India,25750
SIH-00126,Thanjavur Painting,Wood,Gold Leaf Work,Large,44.3,4250,280,725,High,Light,South India,23390
SIH-00127,Channapatna,Wood,Lac Turning,Large,5.9,190,25,35,Low,Standard,South India,1100
SIH-00128,Madhubani,Paper,Hand Painting,Large,63.1,450,200,215,High,Light,East India,14730
SIH-00129,Dhokra,Brass,Lost Wax Casting,Small,15.3,770,90,170,Low,Standard,Central India,4050
SIH-00130,Phulkari,Cotton,Hand Embroidery,Standard,29.5,600,155,145,High,Moderate,North India,9140
SIH-00131,Blue Pottery,Ceramic,Glazing,Small,2.2,160,20,20,Low,Standard,West India,670
SIH-00132,Dhokra,Brass,Lost Wax Casting,Medium,17.7,900,95,115,High,Moderate,Central India,5170
SIH-00133,Sikki Craft,Sikki Grass,Hand Weaving,Medium,6.5,150,25,50,Low,Standard,East India,1530
SIH-00134,Sikki Craft,Sikki Grass,Hand Weaving,Medium,1.2,130,15,20,Medium,Standard,East India,470
SIH-00135,Banarasi,Silk,Handloom Weaving,Standard,131.3,6380,700,975,High,Moderate,North India,56750
SIH-00136,Banarasi,Silk,Handloom Weaving,Standard,111.4,4670,545,705,Medium,Standard,North India,34590
SIH-00137,Pashmina,Pashmina Wool,Hand Embroidery,Standard,104.1,7490,375,735,Medium,Standard,North India,32710
SIH-00138,Blue Pottery,Ceramic,Glazing,Small,1.9,170,25,35,Low,Light,West India,650
SIH-00139,Banarasi,Silk,Handloom Weaving,Standard,118.6,5790,285,550,Medium,Light,North India,37430
SIH-00140,Banarasi,Silk,Handloom Weaving,Standard,98.4,5320,455,660,Medium,Standard,North India,35380
SIH-00141,Sikki Craft,Sikki Grass,Hand Weaving,Medium,9.5,140,30,80,Medium,Moderate,East India,2210
SIH-00142,Kalamkari,Cotton,Block Printing,Medium,2.8,330,15,30,Low,Standard,South India,1100
SIH-00143,Sikki Craft,Sikki Grass,Hand Weaving,Medium,4.4,130,15,30,Medium,Moderate,East India,1100
SIH-00144,Terracotta,Clay,Hand Moulding,Small,1.1,130,15,20,Low,Standard,East India,410
SIH-00145,Banarasi,Silk,Handloom Weaving,Standard,84.3,5530,330,390,High,Standard,North India,25260
SIH-00146,Blue Pottery,Ceramic,Glazing,Large,4.7,490,30,50,Medium,Light,West India,1560
SIH-00147,Sandalwood Carving,Sandalwood,Wood Carving,Medium,26.5,2660,335,230,Medium,Standard,South India,12520
SIH-00148,Pipili Applique,Cotton,Applique,Medium,2.8,260,15,20,Low,Standard,East India,830
SIH-00149,Madhubani,Paper,Hand Painting,Small,15.9,140,70,110,Low,Light,East India,4170
SIH-00150,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Medium,27.9,1940,155,405,Medium,Standard,North India,11150
SIH-00151,Madhubani,Paper,Hand Painting,Large,38.5,240,145,130,High,Standard,East India,7090
SIH-00152,Sandalwood Carving,Sandalwood,Wood Carving,Medium,44.3,2240,380,470,Medium,Standard,South India,13660
SIH-00153,Pashmina,Pashmina Wool,Hand Embroidery,Standard,122.8,4860,610,965,Medium,Standard,North India,43080
SIH-00154,Madhubani,Paper,Hand Painting,Large,25.6,310,75,115,High,Standard,East India,5540
SIH-00155,Pashmina,Pashmina Wool,Hand Embroidery,Standard,39.9,4770,125,240,Medium,Standard,North India,17960
SIH-00156,Terracotta,Clay,Hand Moulding,Medium,5.4,150,40,25,Low,Standard,East India,1050
SIH-00157,Kalamkari,Cotton,Block Printing,Small,6.9,230,30,50,Low,Light,South India,1860
SIH-00158,Blue Pottery,Ceramic,Glazing,Large,6.2,430,75,55,Medium,Moderate,West India,2070
SIH-00159,Pashmina,Pashmina Wool,Hand Embroidery,Standard,61.9,4360,365,460,Medium,Standard,North India,29300
SIH-00160,Pipili Applique,Cotton,Applique,Small,7.2,340,35,45,Low,Standard,East India,1680
SIH-00161,Kalamkari,Cotton,Block Printing,Large,14.8,810,35,70,High,Light,South India,3820
SIH-00162,Bastar Dhokra,Bell Metal,Lost Wax Casting,Small,10.0,1490,160,115,Low,Light,Central India,4790
SIH-00163,Kalamkari,Cotton,Block Printing,Large,19.6,530,65,85,Medium,Standard,South India,4240
SIH-00164,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Small,13.5,950,160,150,Low,Light,North India,5360
SIH-00165,Terracotta,Clay,Hand Moulding,Medium,5.4,160,30,35,Low,Moderate,East India,1000
SIH-00166,Phulkari,Cotton,Hand Embroidery,Standard,31.2,750,80,165,Medium,Standard,North India,7430
SIH-00167,Bastar Dhokra,Bell Metal,Lost Wax Casting,Large,12.2,2710,250,190,High,High,Central India,7680
SIH-00168,Sandalwood Carving,Sandalwood,Wood Carving,Medium,54.6,2030,355,575,Medium,Light,South India,16430
SIH-00169,Channapatna,Wood,Lac Turning,Large,5.9,250,25,45,Medium,Light,South India,1280
SIH-00170,Kutch Embroidery,Cotton,Hand Embroidery,Large,27.9,610,115,155,High,Moderate,West India,5960
SIH-00171,Blue Pottery,Ceramic,Glazing,Medium,2.0,250,30,45,Low,Light,West India,770
SIH-00172,Bastar Dhokra,Bell Metal,Lost Wax Casting,Large,12.7,3570,270,210,High,Light,Central India,9440
SIH-00173,Sikki Craft,Sikki Grass,Hand Weaving,Small,3.8,100,20,20,Low,Light,East India,780
SIH-00174,Terracotta,Clay,Hand Moulding,Large,9.6,180,70,45,Medium,High,East India,1870
SIH-00175,Blue Pottery,Ceramic,Glazing,Large,2.5,480,25,60,Medium,Light,West India,1220
SIH-00176,Blue Pottery,Ceramic,Glazing,Medium,2.5,360,30,40,Low,Standard,West India,1000
SIH-00177,Blue Pottery,Ceramic,Glazing,Large,6.6,420,55,55,Medium,Moderate,West India,1660
SIH-00178,Pashmina,Pashmina Wool,Hand Embroidery,Standard,112.4,6590,350,595,High,High,North India,38650
SIH-00179,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Large,10.9,1420,65,105,High,Moderate,North India,4730
SIH-00180,Blue Pottery,Ceramic,Glazing,Small,1.2,200,15,20,Low,Standard,West India,520
SIH-00181,Kalamkari,Cotton,Block Printing,Large,29.1,640,85,135,Medium,Standard,South India,7530
SIH-00182,Moradabad Metal Craft,Brass,Metal Engraving,Medium,6.5,930,60,110,Medium,Light,North India,2950
SIH-00183,Sikki Craft,Sikki Grass,Hand Weaving,Medium,5.7,140,30,20,Medium,Standard,East India,1360
SIH-00184,Moradabad Metal Craft,Brass,Metal Engraving,Small,3.8,1040,60,105,Low,Light,North India,2750
SIH-00185,Channapatna,Wood,Lac Turning,Large,6.9,210,40,50,Medium,Light,South India,1670
SIH-00186,Blue Pottery,Ceramic,Glazing,Large,6.7,370,45,85,Medium,Light,West India,1650
SIH-00187,Blue Pottery,Ceramic,Glazing,Large,4.2,450,60,65,Medium,Standard,West India,1490
SIH-00188,Banarasi,Silk,Handloom Weaving,Standard,54.9,3720,320,395,High,Standard,North India,23390
SIH-00189,Blue Pottery,Ceramic,Glazing,Small,1.8,180,25,20,Low,Standard,West India,660
SIH-00190,Pashmina,Pashmina Wool,Hand Embroidery,Standard,36.0,6150,320,245,Medium,Moderate,North India,21850
SIH-00191,Pipili Applique,Cotton,Applique,Large,10.0,460,40,60,Medium,Light,East India,2220
SIH-00192,Banarasi,Silk,Handloom Weaving,Standard,73.2,6740,590,765,Medium,Light,North India,35780
SIH-00193,Sandalwood Carving,Sandalwood,Wood Carving,Small,20.9,1190,95,155,Low,Standard,South India,6200
SIH-00194,Phulkari,Cotton,Hand Embroidery,Standard,33.2,540,110,95,High,Moderate,North India,8210
SIH-00195,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Large,59.7,2620,465,455,High,Light,North India,21550
SIH-00196,Dhokra,Brass,Lost Wax Casting,Large,13.6,2680,240,240,High,Moderate,Central India,7200
SIH-00197,Kutch Embroidery,Cotton,Hand Embroidery,Medium,27.2,470,80,130,High,High,West India,6800
SIH-00198,Channapatna,Wood,Lac Turning,Medium,2.4,190,20,20,Low,Moderate,South India,760
SIH-00199,Blue Pottery,Ceramic,Glazing,Small,1.7,170,20,20,Low,Standard,West India,500
SIH-00200,Banarasi,Silk,Handloom Weaving,Standard,67.4,5710,470,525,High,Standard,North India,27980
SIH-00201,Blue Pottery,Ceramic,Glazing,Medium,3.9,190,40,55,Low,Light,West India,1170
SIH-00202,Moradabad Metal Craft,Brass,Metal Engraving,Medium,11.2,1360,160,220,Medium,Standard,North India,4600
SIH-00203,Blue Pottery,Ceramic,Glazing,Large,6.9,380,55,80,Medium,High,West India,1740
SIH-00204,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Large,63.1,1880,470,715,High,Light,North India,19210
SIH-00205,Pipili Applique,Cotton,Applique,Large,21.7,470,75,105,Medium,Light,East India,4720
SIH-00206,Kondapalli Toys,Soft Wood,Hand Painting,Medium,2.6,200,15,20,Low,Standard,South India,870
SIH-00207,Bastar Dhokra,Bell Metal,Lost Wax Casting,Large,42.9,3170,415,450,High,Moderate,Central India,14400
SIH-00208,Dhokra,Brass,Lost Wax Casting,Small,8.8,490,85,60,Low,Moderate,Central India,2840
SIH-00209,Pipili Applique,Cotton,Applique,Large,17.4,390,45,115,High,Moderate,East India,3960
SIH-00210,Blue Pottery,Ceramic,Glazing,Large,4.4,550,35,45,Medium,Standard,West India,1520
SIH-00211,Madhubani,Paper,Hand Painting,Small,17.7,130,30,45,Low,Moderate,East India,3060
SIH-00212,Blue Pottery,Ceramic,Glazing,Large,4.9,280,60,35,Medium,Standard,West India,1460
SIH-00213,Terracotta,Clay,Hand Moulding,Medium,6.8,110,25,40,Low,Moderate,East India,1110
SIH-00214,Moradabad Metal Craft,Brass,Metal Engraving,Large,23.5,2440,355,370,High,Standard,North India,10210
SIH-00215,Dhokra,Brass,Lost Wax Casting,Small,15.3,700,115,155,Low,Moderate,Central India,4600
SIH-00216,Blue Pottery,Ceramic,Glazing,Small,2.9,120,15,35,Low,Standard,West India,810
SIH-00217,Banarasi,Silk,Handloom Weaving,Standard,87.3,3530,285,610,High,Standard,North India,26990
SIH-00218,Blue Pottery,Ceramic,Glazing,Small,2.5,250,20,30,Low,Standard,West India,750
SIH-00219,Kalamkari,Cotton,Block Printing,Large,20.5,1150,85,75,Medium,Standard,South India,4990
SIH-00220,Moradabad Metal Craft,Brass,Metal Engraving,Large,21.3,1770,130,305,High,Light,North India,8410
SIH-00221,Phulkari,Cotton,Hand Embroidery,Standard,30.0,690,170,160,Medium,Light,North India,8530
SIH-00222,Channapatna,Wood,Lac Turning,Small,2.8,130,25,35,Low,Light,South India,880
SIH-00223,Thanjavur Painting,Wood,Gold Leaf Work,Small,33.8,2890,535,495,Medium,Light,South India,20520
SIH-00224,Moradabad Metal Craft,Brass,Metal Engraving,Small,12.0,1120,140,110,Low,Light,North India,5610
SIH-00225,Kalamkari,Cotton,Block Printing,Small,8.3,190,25,50,Low,Light,South India,1750
SIH-00226,Dhokra,Brass,Lost Wax Casting,Large,31.9,3050,255,310,High,Light,Central India,10610
SIH-00227,Moradabad Metal Craft,Brass,Metal Engraving,Large,25.1,1510,270,345,High,Standard,North India,7450
SIH-00228,Blue Pottery,Ceramic,Glazing,Small,1.9,200,15,35,Low,Light,West India,610
SIH-00229,Blue Pottery,Ceramic,Glazing,Large,5.0,400,45,60,Medium,Standard,West India,1470
SIH-00230,Banarasi,Silk,Handloom Weaving,Standard,80.4,4700,265,460,Medium,Standard,North India,33360
SIH-00231,Blue Pottery,Ceramic,Glazing,Large,5.4,250,30,45,Medium,Light,West India,1440
SIH-00232,Pashmina,Pashmina Wool,Hand Embroidery,Standard,64.4,4870,345,300,Medium,Standard,North India,24880
SIH-00233,Thanjavur Painting,Wood,Gold Leaf Work,Small,35.0,1490,155,375,Medium,Moderate,South India,14280
SIH-00234,Channapatna,Wood,Lac Turning,Large,3.5,150,15,25,Medium,Moderate,South India,730
SIH-00235,Kondapalli Toys,Soft Wood,Hand Painting,Medium,3.9,190,25,40,Low,Standard,South India,1250
SIH-00236,Blue Pottery,Ceramic,Glazing,Medium,2.9,180,20,45,Low,Standard,West India,840
SIH-00237,Sikki Craft,Sikki Grass,Hand Weaving,Large,7.1,210,35,45,High,High,East India,1980
SIH-00238,Terracotta,Clay,Hand Moulding,Small,1.6,140,15,25,Low,Light,East India,550
SIH-00239,Channapatna,Wood,Lac Turning,Small,1.8,170,15,25,Low,Standard,South India,700
SIH-00240,Blue Pottery,Ceramic,Glazing,Small,0.9,180,15,20,Low,Standard,West India,490
SIH-00241,Thanjavur Painting,Wood,Gold Leaf Work,Small,23.5,2060,155,330,Medium,Moderate,South India,13700
SIH-00242,Kutch Embroidery,Cotton,Hand Embroidery,Large,15.8,540,75,90,High,Standard,West India,5090
SIH-00243,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,Large,59.4,2530,385,420,High,Standard,North India,21730
SIH-00244,Blue Pottery,Ceramic,Glazing,Large,6.0,360,60,50,Medium,Light,West India,1820
SIH-00245,Banarasi,Silk,Handloom Weaving,Standard,102.2,3860,430,520,Medium,Standard,North India,33250
SIH-00246,Pashmina,Pashmina Wool,Hand Embroidery,Standard,95.3,5770,370,560,Medium,Standard,North India,30410
SIH-00247,Kutch Embroidery,Cotton,Hand Embroidery,Large,34.6,610,130,165,High,Standard,West India,7870
SIH-00248,Sandalwood Carving,Sandalwood,Wood Carving,Large,23.2,1630,220,170,High,Standard,South India,9410
SIH-00249,Sandalwood Carving,Sandalwood,Wood Carving,Large,34.7,2900,355,500,High,Moderate,South India,14940
SIH-00250,Blue Pottery,Ceramic,Glazing,Small,1.8,170,20,35,Low,Light,West India,690
SIH-00251,Bastar Dhokra,Bell Metal,Lost Wax Casting,Medium,14.7,1850,235,255,Medium,Standard,Central India,7100
SIH-00252,Sandalwood Carving,Sandalwood,Wood Carving,Large,32.0,2310,355,400,High,Moderate,South India,13590
SIH-00253,Banarasi,Silk,Handloom Weaving,Standard,95.0,3180,600,510,High,Standard,North India,34010
SIH-00254,Blue Pottery,Ceramic,Glazing,Medium,6.5,210,55,70,Medium,High,West India,1470
