record_id,product,category,subcategory,state,data_type,generation_method,calibration_source,generated_at,dataset_version,labor_hours,raw_material_cost,packaging_cost,transport_cost,complexity,customization,actual_selling_price,craft,material,technique,region,size,direct_cost,market_reference_price,market_price_min,market_price_max,market_comparable_count
SIH-00013,Bastar Bell Metal Figure,Home Decor,Metal Craft,Chhattisgarh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,13.3,1910,135,195,Medium,Moderate,7190,Bastar Dhokra,Bell Metal,Lost Wax Casting,Central India,Medium,2240,8360.0,5480.0,15140.0,57.0
SIH-00014,Pipili Applique Wall Hanging,Home Decor,Textile Craft,Odisha,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,17.6,480,65,75,High,Light,3370,Pipili Applique,Cotton,Applique,East India,Large,620,3235.0,1180.0,6800.0,92.0
SIH-00015,Sandalwood Carving,Home Decor,Wood Craft,Karnataka,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,28.3,1570,195,200,Low,Standard,9180,Sandalwood Carving,Sandalwood,Wood Carving,South India,Small,1965,10240.0,4390.0,20120.0,81.0
SIH-00016,Dhokra Figurine,Home Decor,Metal Craft,Chhattisgarh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,19.2,1360,135,235,High,Light,5940,Dhokra,Brass,Lost Wax Casting,Central India,Large,1730,9130.0,5170.0,11920.0,77.0
SIH-00017,Kalamkari Wall Art,Painting,Textile Painting,Andhra Pradesh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,21.0,700,70,115,Medium,Light,5370,Kalamkari,Cotton,Block Printing,South India,Large,885,4680.0,1710.0,8830.0,69.0
SIH-00018,Sikki Grass Basket,Home Decor,Natural Fibre,Bihar,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,5.5,80,30,25,Low,Standard,950,Sikki Craft,Sikki Grass,Hand Weaving,East India,Small,135,775.0,310.0,1500.0,72.0
SIH-00019,Pashmina Shawl,Textiles,Shawl,Jammu and Kashmir,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,118.8,7720,305,545,High,High,38500,Pashmina,Pashmina Wool,Hand Embroidery,North India,Standard,8570,29505.0,12200.0,62560.0,256.0
SIH-00020,Sikki Grass Basket,Home Decor,Natural Fibre,Bihar,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,5.4,190,20,25,Low,Standard,1070,Sikki Craft,Sikki Grass,Hand Weaving,East India,Medium,235,1200.0,470.0,2940.0,89.0
SIH-00021,Pipili Applique Wall Hanging,Home Decor,Textile Craft,Odisha,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,8.2,330,20,45,Low,Standard,1640,Pipili Applique,Cotton,Applique,East India,Medium,395,2135.0,730.0,4630.0,78.0
SIH-00022,Kashmir Walnut Box,Home Decor,Wood Craft,Jammu and Kashmir,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,41.3,860,215,410,Medium,Light,11520,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,North India,Medium,1485,10635.0,3610.0,21300.0,74.0
SIH-00023,Madhubani Painting,Painting,Folk Painting,Bihar,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,53.3,250,160,255,High,High,13410,Madhubani,Paper,Hand Painting,East India,Large,665,7885.0,2690.0,19090.0,66.0
SIH-00024,Channapatna Wooden Toy,Toys,Wooden Toys,Karnataka,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,4.0,130,30,20,Low,Light,1000,Channapatna,Wood,Lac Turning,South India,Medium,180,920.0,400.0,1670.0,93.0
SIH-00025,Banarasi Silk Saree,Textiles,Saree,Uttar Pradesh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,87.7,4890,355,565,Medium,Standard,35990,Banarasi,Silk,Handloom Weaving,North India,Standard,5810,33625.0,15130.0,63680.0,248.0
SIH-00026,Blue Pottery Vase,Home Decor,Pottery,Rajasthan,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,2.6,230,25,20,Low,Standard,760,Blue Pottery,Ceramic,Glazing,West India,Small,275,780.0,320.0,1310.0,265.0
SIH-00027,Phulkari Dupatta,Textiles,Embroidery,Punjab,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,25.3,790,145,135,Medium,Standard,7190,Phulkari,Cotton,Hand Embroidery,North India,Standard,1070,8485.0,2560.0,14630.0,240.0
SIH-00028,Kalamkari Wall Art,Painting,Textile Painting,Andhra Pradesh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,23.5,740,70,150,High,Light,5520,Kalamkari,Cotton,Block Printing,South India,Large,960,4680.0,1710.0,8830.0,69.0
SIH-00029,Pipili Applique Wall Hanging,Home Decor,Textile Craft,Odisha,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,11.3,280,20,50,Medium,Standard,1920,Pipili Applique,Cotton,Applique,East India,Large,350,3315.0,1180.0,6800.0,92.0
SIH-00030,Pipili Applique Wall Hanging,Home Decor,Textile Craft,Odisha,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,5.8,200,20,20,Low,Standard,1090,Pipili Applique,Cotton,Applique,East India,Small,240,1265.0,560.0,2420.0,86.0
SIH-00031,Pashmina Shawl,Textiles,Shawl,Jammu and Kashmir,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,111.1,5710,725,525,High,Moderate,44050,Pashmina,Pashmina Wool,Hand Embroidery,North India,Standard,6960,29505.0,12200.0,62560.0,256.0
SIH-00032,Kondapalli Doll,Toys,Wooden Toys,Andhra Pradesh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,2.5,160,15,20,Low,Light,700,Kondapalli Toys,Soft Wood,Hand Painting,South India,Small,195,900.0,380.0,1720.0,97.0
SIH-00033,Madhubani Painting,Painting,Folk Painting,Bihar,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,12.4,180,65,55,Low,Moderate,3570,Madhubani,Paper,Hand Painting,East India,Small,300,3045.0,700.0,6380.0,82.0
SIH-00034,Moradabad Brass Lamp,Lighting,Metalware,Uttar Pradesh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,9.0,1310,85,150,High,Light,4670,Moradabad Metal Craft,Brass,Metal Engraving,North India,Large,1545,8235.0,4080.0,14020.0,84.0
SIH-00035,Kalamkari Wall Art,Painting,Textile Painting,Andhra Pradesh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,28.3,480,120,135,Medium,Light,7690,Kalamkari,Cotton,Block Printing,South India,Large,735,4680.0,1710.0,8830.0,69.0
SIH-00036,Banarasi Silk Saree,Textiles,Saree,Uttar Pradesh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,101.2,4920,435,335,Medium,Light,31480,Banarasi,Silk,Handloom Weaving,North India,Standard,5690,33640.0,15130.0,63680.0,248.0
SIH-00037,Terracotta Decorative Pot,Home Decor,Pottery,West Bengal,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,6.7,140,40,80,Low,Moderate,1460,Terracotta,Clay,Hand Moulding,East India,Medium,260,945.0,400.0,1830.0,86.0
SIH-00038,Dhokra Figurine,Home Decor,Metal Craft,Chhattisgarh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,23.2,1650,125,180,High,Moderate,7800,Dhokra,Brass,Lost Wax Casting,Central India,Medium,1955,6820.0,2480.0,11120.0,109.0
SIH-00039,Channapatna Wooden Toy,Toys,Wooden Toys,Karnataka,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,1.6,100,15,20,Low,Standard,500,Channapatna,Wood,Lac Turning,South India,Small,135,795.0,350.0,1340.0,88.0
SIH-00040,Jaipur Blue Pottery Bowl,Tableware,Pottery,Rajasthan,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,3.4,370,40,60,Low,Standard,1120,Blue Pottery,Ceramic,Glazing,West India,Medium,470,990.0,430.0,1880.0,243.0
SIH-00041,Blue Pottery Vase,Home Decor,Pottery,Rajasthan,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,2.1,170,25,35,Low,Moderate,770,Blue Pottery,Ceramic,Glazing,West India,Small,230,780.0,320.0,1310.0,265.0
SIH-00042,Madhubani Painting,Painting,Folk Painting,Bihar,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,20.2,160,50,90,Low,High,4130,Madhubani,Paper,Hand Painting,East India,Small,300,3045.0,700.0,6380.0,82.0
SIH-00043,Bastar Bell Metal Figure,Home Decor,Metal Craft,Chhattisgarh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,10.4,1310,120,210,Low,Standard,4560,Bastar Dhokra,Bell Metal,Lost Wax Casting,Central India,Small,1640,4790.0,2570.0,9490.0,83.0
SIH-00044,Jaipur Blue Pottery Bowl,Tableware,Pottery,Rajasthan,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,1.5,200,20,20,Low,Light,570,Blue Pottery,Ceramic,Glazing,West India,Small,240,780.0,320.0,1310.0,265.0
SIH-00045,Blue Pottery Vase,Home Decor,Pottery,Rajasthan,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,3.5,270,30,35,Low,Light,1030,Blue Pottery,Ceramic,Glazing,West India,Medium,335,990.0,430.0,1880.0,243.0
SIH-00046,Pipili Applique Wall Hanging,Home Decor,Textile Craft,Odisha,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,8.3,310,35,25,Medium,Standard,1700,Pipili Applique,Cotton,Applique,East India,Medium,370,2135.0,730.0,4630.0,78.0
SIH-00047,Kashmir Walnut Box,Home Decor,Wood Craft,Jammu and Kashmir,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,4.3,780,65,50,Low,Moderate,2480,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,North India,Small,895,7180.0,2910.0,13800.0,69.0
SIH-00048,Pipili Applique Wall Hanging,Home Decor,Textile Craft,Odisha,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,7.8,160,30,25,Low,Standard,1530,Pipili Applique,Cotton,Applique,East India,Small,215,1255.0,560.0,2420.0,86.0
SIH-00049,Blue Pottery Vase,Home Decor,Pottery,Rajasthan,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,2.6,190,25,30,Low,Moderate,850,Blue Pottery,Ceramic,Glazing,West India,Small,245,770.0,320.0,1310.0,265.0
SIH-00050,Kalamkari Wall Art,Painting,Textile Painting,Andhra Pradesh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,18.3,710,65,90,High,Moderate,5640,Kalamkari,Cotton,Block Printing,South India,Large,865,4680.0,1710.0,8830.0,69.0
SIH-00051,Kashmir Walnut Box,Home Decor,Wood Craft,Jammu and Kashmir,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,29.1,1060,225,365,Medium,Light,10440,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,North India,Medium,1650,10730.0,3610.0,21300.0,74.0
SIH-00052,Dhokra Figurine,Home Decor,Metal Craft,Chhattisgarh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,8.5,880,65,115,Low,Standard,3070,Dhokra,Brass,Lost Wax Casting,Central India,Small,1060,4000.0,1500.0,9610.0,96.0
SIH-00053,Jaipur Blue Pottery Bowl,Tableware,Pottery,Rajasthan,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,1.9,240,30,35,Low,Standard,720,Blue Pottery,Ceramic,Glazing,West India,Small,305,780.0,320.0,1310.0,265.0
SIH-00054,Moradabad Brass Lamp,Lighting,Metalware,Uttar Pradesh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,16.0,2320,260,350,High,Moderate,7240,Moradabad Metal Craft,Brass,Metal Engraving,North India,Large,2930,8235.0,4080.0,14020.0,84.0
SIH-00055,Kondapalli Doll,Toys,Wooden Toys,Andhra Pradesh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,5.5,360,25,45,Medium,Moderate,1490,Kondapalli Toys,Soft Wood,Hand Painting,South India,Medium,430,1320.0,590.0,2720.0,77.0
SIH-00056,Phulkari Dupatta,Textiles,Embroidery,Punjab,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,34.0,570,135,245,Medium,Standard,9400,Phulkari,Cotton,Hand Embroidery,North India,Standard,950,8470.0,2560.0,14630.0,240.0
SIH-00057,Bastar Bell Metal Figure,Home Decor,Metal Craft,Chhattisgarh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,3.1,1420,60,130,Low,Moderate,3050,Bastar Dhokra,Bell Metal,Lost Wax Casting,Central India,Small,1610,4790.0,2570.0,9490.0,83.0
SIH-00058,Dhokra Figurine,Home Decor,Metal Craft,Chhattisgarh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,14.0,3180,180,335,High,Moderate,8510,Dhokra,Brass,Lost Wax Casting,Central India,Large,3695,9130.0,5170.0,11920.0,77.0
SIH-00059,Kashmir Walnut Box,Home Decor,Wood Craft,Jammu and Kashmir,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,14.8,820,140,230,Low,Standard,6260,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,North India,Small,1190,7180.0,2480.0,13800.0,69.0
SIH-00060,Blue Pottery Plate,Tableware,Pottery,Rajasthan,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,3.8,260,40,55,Low,Standard,1040,Blue Pottery,Ceramic,Glazing,West India,Medium,355,990.0,430.0,1880.0,243.0
SIH-00061,Kashmir Walnut Box,Home Decor,Wood Craft,Jammu and Kashmir,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,12.7,880,90,105,Low,Standard,4150,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,North India,Small,1075,7180.0,2480.0,13800.0,69.0
SIH-00062,Blue Pottery Plate,Tableware,Pottery,Rajasthan,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,1.6,340,30,30,Medium,Standard,710,Blue Pottery,Ceramic,Glazing,West India,Large,400,1590.0,780.0,3370.0,250.0
SIH-00063,Sandalwood Carving,Home Decor,Wood Craft,Karnataka,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,63.4,5450,545,830,High,Light,27490,Sandalwood Carving,Sandalwood,Wood Carving,South India,Large,6825,19645.0,8760.0,29980.0,84.0
SIH-00064,Channapatna Wooden Toy,Toys,Wooden Toys,Karnataka,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,2.9,120,20,30,Low,Light,820,Channapatna,Wood,Lac Turning,South India,Medium,170,930.0,400.0,1670.0,93.0
SIH-00065,Jaipur Blue Pottery Bowl,Tableware,Pottery,Rajasthan,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,1.8,240,15,30,Low,Standard,710,Blue Pottery,Ceramic,Glazing,West India,Small,285,780.0,320.0,1310.0,265.0
SIH-00066,Jaipur Blue Pottery Bowl,Tableware,Pottery,Rajasthan,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,2.7,250,25,45,Low,Standard,860,Blue Pottery,Ceramic,Glazing,West India,Medium,320,990.0,430.0,1880.0,243.0
SIH-00067,Sikki Grass Basket,Home Decor,Natural Fibre,Bihar,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,5.4,110,35,45,Medium,Standard,1200,Sikki Craft,Sikki Grass,Hand Weaving,East India,Medium,190,1190.0,470.0,2940.0,89.0
SIH-00068,Channapatna Wooden Toy,Toys,Wooden Toys,Karnataka,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,4.5,120,15,50,Medium,Standard,1130,Channapatna,Wood,Lac Turning,South India,Large,185,1465.0,640.0,2560.0,84.0
SIH-00069,Dhokra Figurine,Home Decor,Metal Craft,Chhattisgarh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,25.1,1880,310,375,High,Standard,9550,Dhokra,Brass,Lost Wax Casting,Central India,Large,2565,9120.0,5170.0,11920.0,77.0
SIH-00070,Kondapalli Doll,Toys,Wooden Toys,Andhra Pradesh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,7.0,240,55,30,Medium,Standard,1890,Kondapalli Toys,Soft Wood,Hand Painting,South India,Large,325,1920.0,980.0,2780.0,80.0
SIH-00071,Kashmir Walnut Box,Home Decor,Wood Craft,Jammu and Kashmir,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,21.7,2310,160,220,High,Light,9050,Kashmir Walnut Wood Carving,Walnut Wood,Wood Carving,North India,Large,2690,13840.0,4730.0,21830.0,74.0
SIH-00072,Terracotta Decorative Pot,Home Decor,Pottery,West Bengal,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,7.9,210,45,85,Low,Standard,1620,Terracotta,Clay,Hand Moulding,East India,Large,340,1540.0,480.0,2810.0,77.0
SIH-00073,Channapatna Wooden Toy,Toys,Wooden Toys,Karnataka,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,3.0,130,15,20,Low,Standard,720,Channapatna,Wood,Lac Turning,South India,Medium,165,930.0,400.0,1670.0,93.0
SIH-00074,Sandalwood Carving,Home Decor,Wood Craft,Karnataka,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,30.5,1690,225,320,Medium,Moderate,12310,Sandalwood Carving,Sandalwood,Wood Carving,South India,Small,2235,10220.0,4390.0,20120.0,81.0
SIH-00075,Jaipur Blue Pottery Bowl,Tableware,Pottery,Rajasthan,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,5.7,250,40,65,Medium,Moderate,1500,Blue Pottery,Ceramic,Glazing,West India,Large,355,1590.0,710.0,3370.0,250.0
SIH-00076,Madhubani Painting,Painting,Folk Painting,Bihar,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,25.3,190,50,90,Low,Standard,4630,Madhubani,Paper,Hand Painting,East India,Medium,330,4590.0,1130.0,12160.0,87.0
SIH-00077,Pipili Applique Wall Hanging,Home Decor,Textile Craft,Odisha,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,7.8,300,20,45,Low,High,2010,Pipili Applique,Cotton,Applique,East India,Small,365,1255.0,560.0,2420.0,86.0
SIH-00078,Dhokra Figurine,Home Decor,Metal Craft,Chhattisgarh,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,3.0,1450,65,75,Low,Standard,3110,Dhokra,Brass,Lost Wax Casting,Central India,Small,1590,4000.0,1500.0,9610.0,96.0
SIH-00079,Blue Pottery Plate,Tableware,Pottery,Rajasthan,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,2.3,260,30,20,Low,Standard,800,Blue Pottery,Ceramic,Glazing,West India,Small,310,770.0,320.0,1310.0,265.0
SIH-00080,Madhubani Painting,Painting,Folk Painting,Bihar,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,32.9,280,170,240,Medium,High,9690,Madhubani,Paper,Hand Painting,East India,Medium,690,4590.0,1130.0,12160.0,87.0
SIH-00081,Thanjavur Painting,Painting,Traditional Painting,Tamil Nadu,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,46.2,2210,315,490,Medium,High,19650,Thanjavur Painting,Wood,Gold Leaf Work,South India,Small,3015,15970.0,8220.0,29230.0,95.0
SIH-00082,Sandalwood Carving,Home Decor,Wood Craft,Karnataka,synthetic,domain_informed_production_economics_with_market_calibration,IndiaHandmade current listings + domain-informed craft ranges,2026-09-11,2.0-final,60.7,2800,420,400,Medium,Standard,20590,Sandalwood Carving,Sandalwood,Wood Carving,South India,Medium,3620,14920.0,7370.0,29890.0,78.0
